material_id,pretty_formula,full_formula,unit_cell_formula,density,spacegroup.crystal_system,volume,band_gap,formation_energy_per_atom,e_above_hull,z_A,z_B,z_X,row_A,row_B,row_X,grp_A,grp_B,grp_X,atom_mass_A,atom_mass_B,atom_mass_X,mol_vol_A,mol_vol_B,mol_vol_X,ion_rad_A,ion_rad_B,ion_rad_X,cov_rad_A,cov_rad_B,cov_rad_X,vdw_rad_A,vdw_rad_B,vdw_rad_X,x_A,x_B,x_X,ea_A,ea_B,ea_X,k_A,k_B,k_X,val_A,val_B,val_X,bp_A,bp_B,bp_X,mp_A,mp_B,mp_X,heat_fus_A,heat_fus_B,heat_fus_X,ie_A,ie_B,ie_X,a,b,c,alpha,beta,gamma,nA,nB,nX,rA,rB,rX,mu,t,tau
mp-8725,HfSnS3,Hf4Sn4S12,"{'Hf': 4.0, 'Sn': 4.0, 'S': 12.0}",5.187505555857996,3,503.7085813758224,1.2463000000000002,-1.5321744268749995,0.0,72,50,16,6,5,3,4,14,16,178.49,118.71,32.065,13.44,16.29,15.53,0.85,0.83,0.88,1.64,1.4,1.04,253,242,189,1.32,1.96,2.58,1.351,107.298,200.41,23.0,67.0,0.205,4.0,4.0,6.0,4876.0,2875.0,717.87,2506.0,505.08,388.36,25.5,7.0,1.73,658.5,708.6,999.6,3.717037,9.5024,14.260973,90.0,90.0,90.0,2.0,4.0,-2.0,1.15,0.71,1.84,0.38586956521739124,0.829117363038344,5.3088567025072635
mp-27178,HgPS3,Hg2P2S6,"{'Hg': 2.0, 'P': 2.0, 'S': 6.0}",4.241494369862279,5,256.63418656812854,1.9798,-0.5837041835892862,0.0,80,15,16,6,3,3,12,15,16,200.59,30.973762,32.065,14.09,17.02,15.53,1.245,0.55,0.88,1.32,1.09,1.04,247,190,189,2.0,2.19,2.58,0.0,72.037,200.41,8.3,0.236,0.205,2.0,5.0,6.0,629.88,550.0,717.87,234.32,317.0,388.36,2.29,0.64,1.73,1007.1,1011.0,999.6,6.377665,6.39130944,7.78219586,95.10298167,106.33659055,118.94557475,1.0,5.0,-2.0,1.19,0.38,1.84,0.20652173913043478,0.9651052013492066,6.585404895840041
mp-1189393,HoScS3,Ho4Sc4S12,"{'Ho': 4.0, 'Sc': 4.0, 'S': 12.0}",4.785214720806305,3,424.8585469564187,1.7663000000000002,-2.375869635875001,0.0128854737499999,67,21,16,8,4,3,13,3,16,164.93032,44.955912,32.065,18.74,15.0,15.53,1.041,0.885,0.88,1.79,1.59,1.04,283,258,189,1.23,1.36,2.58,0.0,18.1,200.41,16.0,16.0,0.205,3.0,3.0,6.0,2993.0,3103.0,717.87,1734.0,1814.0,388.36,17.0,16.0,1.73,581.0,633.0,999.6,6.369949,6.991898,9.53923,90.0,90.0,90.0,3.0,3.0,-2.0,1.12,0.745,1.84,0.40489130434782605,0.809685134356743,4.532025601303705
mp-19885,InGaS3,In2Ga2S6,"{'In': 2.0, 'Ga': 2.0, 'S': 6.0}",3.968148565783092,3,234.95748088707,1.8944,-1.001503461875,0.0172164430000005,49,31,16,5,4,3,13,13,16,114.818,69.723,32.065,15.76,11.8,15.53,0.94,0.76,0.88,1.42,1.23,1.04,243,232,189,1.78,1.81,2.58,28.9,41.49,200.41,82.0,29.0,0.205,3.0,3.0,6.0,2345.0,2477.0,717.87,429.75,302.91,388.36,3.26,5.59,1.73,558.3,578.8,999.6,10.08237472,10.08237472,6.233365,90.0,90.0,158.23496641,3.0,3.0,-2.0,0.92,0.62,1.84,0.33695652173913043,0.7933393154775898,5.2475230537882345
mp-21365,InSbS3,In4Sb4S12,"{'In': 4.0, 'Sb': 4.0, 'S': 12.0}",4.405657292642169,3,501.7027245696506,1.5012,-0.796258732375,0.0,49,51,16,5,5,3,13,15,16,114.818,121.76,32.065,15.76,18.19,15.53,0.94,0.83,0.88,1.42,1.4,1.04,243,247,189,1.78,2.05,2.58,28.9,100.924,200.41,82.0,24.0,0.205,3.0,5.0,6.0,2345.0,1860.0,717.87,429.75,903.78,388.36,3.26,19.7,1.73,558.3,834.0,999.6,3.892727,9.541157,13.508013,90.0,90.0,90.0,3.0,3.0,-2.0,0.92,0.76,1.84,0.41304347826086957,0.7506210446441812,12.429057902216181
mp-8267,KPS3,K2P2S6,"{'K': 2.0, 'P': 2.0, 'S': 6.0}",1.9531333480104296,3,282.717974398469,1.7701999999999998,-1.0587433961892856,0.0,19,15,16,4,3,3,1,15,16,39.0983,30.973762,32.065,45.94,17.02,15.53,1.52,0.55,0.88,2.0,1.09,1.04,273,190,189,0.82,2.19,2.58,48.385,72.037,200.41,100.0,0.236,0.205,1.0,5.0,6.0,1032.0,550.0,717.87,336.53,317.0,388.36,2.33,0.64,1.73,418.8,1011.0,999.6,7.26022565,7.26022565,7.26022565,122.3000018,106.44715191,100.51639013,1.0,5.0,-2.0,1.64,0.38,1.84,0.20652173913043478,1.1084376569951284,6.793515856489874
mp-558977,LaErS3,La12Er12S36,"{'La': 12.0, 'Er': 12.0, 'S': 36.0}",5.638369664528201,3,1421.9719355148968,0.8792999999999997,-2.544994039208333,0.0,57,68,16,8,8,3,3,14,16,138.90547,167.259,32.065,22.39,18.46,15.53,1.172,1.03,0.88,1.94,1.77,1.04,298,279,189,1.1,1.24,2.58,45.35,0.0,200.41,13.0,15.0,0.205,3.0,3.0,6.0,3743.0,3141.0,717.87,1193.0,1802.0,388.36,6.2,19.9,1.73,538.1,589.3,999.6,4.007358,16.533778,21.461535,90.0,90.0,90.0,3.0,3.0,-2.0,1.36,0.89,1.84,0.483695652173913,0.8288431134787371,3.8789003469170087
mp-4816,LaGaS3,La12Ga12S36,"{'La': 12.0, 'Ga': 12.0, 'S': 36.0}",4.287353246302163,2,1416.7377902573671,2.2014000000000005,-1.8459585075416676,0.0,57,31,16,8,4,3,3,13,16,138.90547,69.723,32.065,22.39,11.8,15.53,1.172,0.76,0.88,1.94,1.23,1.04,298,232,189,1.1,1.81,2.58,45.35,41.49,200.41,13.0,29.0,0.205,3.0,3.0,6.0,3743.0,2477.0,717.87,1193.0,302.91,388.36,6.2,5.59,1.73,538.1,578.8,999.6,10.613928,10.436989,12.94293648,81.15577526,90.0,90.0,3.0,3.0,-2.0,1.36,0.62,1.84,0.33695652173913043,0.919813699104452,2.345174676579549
mp-1106374,LaLuS3,La4Lu4S12,"{'La': 4.0, 'Lu': 4.0, 'S': 12.0}",5.611882533940864,3,485.35089589528377,2.2322,-2.538483297875,0.0,57,71,16,8,8,3,3,17,16,138.90547,174.967,32.065,22.39,17.78,15.53,1.172,1.001,0.88,1.94,1.74,1.04,298,263,189,1.1,1.27,2.58,45.35,32.81,200.41,13.0,16.0,0.205,3.0,3.0,6.0,3743.0,3675.0,717.87,1193.0,1925.0,388.36,6.2,22.0,1.73,538.1,523.5,999.6,6.69348,7.335671,9.884712,90.0,90.0,90.0,3.0,3.0,-2.0,1.36,0.861,1.84,0.46793478260869564,0.8377422065149767,3.5028442559145265
mp-1190131,LaScS3,La4Sc4S12,"{'La': 4.0, 'Sc': 4.0, 'S': 12.0}",4.043841139784208,3,460.0028013825184,1.6446000000000005,-2.475861778875001,0.0,57,21,16,8,4,3,3,3,16,138.90547,44.955912,32.065,22.39,15.0,15.53,1.172,0.885,0.88,1.94,1.59,1.04,298,258,189,1.1,1.36,2.58,45.35,18.1,200.41,13.0,16.0,0.205,3.0,3.0,6.0,3743.0,3103.0,717.87,1193.0,1814.0,388.36,6.2,16.0,1.73,538.1,633.0,999.6,6.586942,7.234309,9.653384,90.0,90.0,90.0,3.0,3.0,-2.0,1.36,0.745,1.84,0.40489130434782605,0.8753352803856682,2.5691716768023216
